provinceID,year,week,SMN,SMT,VCI,TCI,VHI
20,2000,01,0.061,263.85,22.13,67.19,44.66
20,2000,02,0.063,264.68,22.24,64.33,43.29
20,2000,03,0.066,266.55,23.16,58.05,40.61
20,2000,04,0.072,268.03,26.38,54.71,40.55
20,2000,05,0.079,269.06,30.60,52.88,41.74
20,2000,06,0.088,270.54,34.35,50.08,42.22
20,2000,07,0.097,272.74,37.38,47.06,42.22
20,2000,08,0.105,274.06,39.87,48.93,44.40
20,2000,09,0.112,275.03,41.52,53.09,47.30
20,2000,10,0.118,276.19,41.66,58.17,49.91
20,2000,11,0.131,277.82,43.68,59.11,51.40
20,2000,12,0.147,279.76,46.26,61.04,53.65
20,2000,13,0.170,282.09,50.73,60.24,55.48
20,2000,14,0.200,284.31,56.08,56.50,56.29
20,2000,15,0.233,286.47,60.59,54.62,57.60
20,2000,16,0.272,288.07,64.65,53.71,59.18
20,2000,17,0.325,289.21,72.36,56.52,64.44
20,2000,18,0.376,290.30,80.00,60.17,70.09
20,2000,19,0.414,291.25,82.46,61.43,71.94
20,2000,20,0.437,292.33,82.35,60.27,71.31
20,2000,21,0.448,293.46,81.29,55.92,68.61
20,2000,22,0.454,294.43,79.90,52.94,66.42
20,2000,23,0.452,295.08,78.20,51.31,64.75
20,2000,24,0.452,295.60,77.64,52.78,65.21
20,2000,25,0.448,296.24,76.22,51.86,64.04
20,2000,26,0.441,296.77,74.93,50.78,62.86
20,2000,27,0.432,297.27,74.49,48.12,61.31
20,2000,28,0.418,297.67,73.00,45.01,59.01
20,2000,29,0.404,297.93,70.33,43.76,57.04
20,2000,30,0.388,298.15,67.57,41.52,54.55
20,2000,31,0.371,298.09,65.51,41.30,53.41
20,2000,32,0.352,297.68,62.32,43.59,52.96
20,2000,33,0.336,297.23,58.18,45.31,51.75
20,2000,34,0.322,296.36,55.43,49.04,52.23
20,2000,35,0.304,294.85,51.82,55.76,53.79
20,2000,36,0.291,293.48,49.39,55.92,52.65
20,2000,37,0.279,292.61,47.67,52.44,50.05
20,2000,38,0.270,292.51,48.07,43.15,45.61
20,2000,39,0.257,292.42,48.04,31.79,39.91
20,2000,40,0.244,291.95,49.06,22.18,35.62
20,2000,41,0.221,291.14,47.32,16.15,31.73
20,2000,42,0.195,289.95,44.85,14.92,29.89
20,2000,43,0.159,288.76,37.52,11.75,24.64
20,2000,44,0.123,287.26,28.35,10.26,19.31
20,2000,45,0.083,285.78,15.94,10.35,13.14
20,2000,46,0.061,284.46,9.30,9.71,9.50
20,2000,47,0.046,282.77,5.62,10.65,8.13
20,2000,48,0.036,280.40,4.04,15.34,9.69
20,2000,49,0.033,278.51,4.21,18.18,11.20
20,2000,50,0.034,277.17,4.64,18.09,11.36
20,2000,51,0.044,276.82,10.14,15.40,12.77
20,2000,52,0.061,276.62,22.92,14.55,18.73
20,2001,01,0.088,275.93,41.44,16.62,29.03
20,2001,02,0.113,275.79,56.55,16.15,36.35
20,2001,03,0.158,276.15,81.47,15.42,48.45
20,2001,04,0.165,276.68,83.70,15.24,49.47
20,2001,05,0.169,277.44,84.92,14.60,49.76
20,2001,06,0.174,278.35,85.05,14.07,49.56
